frame,x1,y1,x2,y2,cx,cy,visibility
0,2215.79052734375,1412.3349609375,2258.83642578125,1440.0,2237,1426,1
0,2379.494140625,1409.521728515625,2430.9951171875,1440.0,2405,1424,1
1,2216.365478515625,1412.22265625,2258.822509765625,1440.0,2237,1426,1
1,2379.607421875,1409.27197265625,2431.208984375,1440.0,2405,1424,1
2,2216.367919921875,1412.2158203125,2258.833740234375,1440.0,2237,1426,1
2,2379.603515625,1409.2587890625,2431.2216796875,1440.0,2405,1424,1
3,2216.3466796875,1412.1923828125,2258.8193359375,1440.0,2237,1426,1
3,2379.580078125,1409.2525634765625,2431.1845703125,1440.0,2405,1424,1
4,2216.39990234375,1412.207763671875,2258.82177734375,1440.0,2237,1426,1
4,2379.53271484375,1409.303955078125,2431.24658203125,1440.0,2405,1424,1
5,2216.36328125,1412.2509765625,2258.7490234375,1440.0,2237,1426,1
5,2379.60986328125,1409.4788818359375,2431.40283203125,1440.0,2405,1424,1
6,2216.426025390625,1412.2645263671875,2258.737548828125,1440.0,2237,1426,1
6,2379.5029296875,1409.4853515625,2431.30810546875,1440.0,2405,1424,1
7,2216.307373046875,1412.1534423828125,2258.762451171875,1440.0,2237,1426,1
7,2379.48876953125,1409.438720703125,2431.22998046875,1440.0,2405,1424,1
8,2216.10986328125,1412.319580078125,2258.58935546875,1440.0,2237,1426,1
8,2379.49853515625,1409.4625244140625,2431.17431640625,1440.0,2405,1424,1
9,2216.244140625,1412.092041015625,2258.73828125,1440.0,2237,1426,1
9,2379.774658203125,1409.512451171875,2431.142333984375,1440.0,2405,1424,1
10,2216.2373046875,1412.0888671875,2258.759765625,1440.0,2237,1426,1
10,2379.750244140625,1409.456298828125,2431.176025390625,1440.0,2405,1424,1
11,2216.228759765625,1412.073486328125,2258.763427734375,1440.0,2237,1426,1
11,2379.74609375,1409.4869384765625,2431.10888671875,1440.0,2405,1424,1
12,2216.283203125,1412.237548828125,2258.5908203125,1440.0,2237,1426,1
12,2379.5703125,1409.451904296875,2431.04296875,1440.0,2405,1424,1
13,2216.159912109375,1412.2088623046875,2258.830810546875,1440.0,2237,1426,1
14,2216.171875,1412.2000732421875,2258.7822265625,1440.0,2237,1426,1
15,2216.19287109375,1412.1875,2258.77880859375,1440.0,2237,1426,1
16,2216.08642578125,1412.276611328125,2258.77392578125,1440.0,2237,1426,1
17,2216.0576171875,1412.101806640625,2258.841796875,1440.0,2237,1426,1
18,2216.0771484375,1412.1083984375,2258.8271484375,1440.0,2237,1426,1
19,2216.061767578125,1412.0830078125,2258.834228515625,1440.0,2237,1426,1
20,2216.41162109375,1412.1751708984375,2258.80810546875,1440.0,2237,1426,1
21,2216.357177734375,1412.161376953125,2258.825439453125,1440.0,2237,1426,1
22,2216.36572265625,1412.134033203125,2258.83642578125,1440.0,2237,1426,1
23,2216.32958984375,1412.1148681640625,2258.85986328125,1440.0,2237,1426,1
24,2216.428466796875,1412.315185546875,2258.741455078125,1440.0,2237,1426,1
25,2216.425048828125,1412.144775390625,2258.852783203125,1440.0,2237,1426,1
26,2216.496826171875,1412.1630859375,2258.820068359375,1440.0,2237,1426,1
27,2216.478271484375,1412.16259765625,2258.797607421875,1440.0,2237,1426,1
28,2216.50390625,1412.209716796875,2258.7509765625,1440.0,2237,1426,1
29,2216.46875,1412.2213134765625,2258.802734375,1440.0,2237,1426,1
30,2216.4912109375,1412.213134765625,2258.8232421875,1440.0,2237,1426,1
31,2216.459228515625,1412.154052734375,2258.816650390625,1440.0,2237,1426,1
32,2216.434326171875,1412.1875,2258.812744140625,1440.0,2237,1426,1
33,2216.43212890625,1412.212158203125,2258.84619140625,1440.0,2237,1426,1
34,2216.53125,1412.2373046875,2258.77880859375,1440.0,2237,1426,1
35,2216.494873046875,1412.206787109375,2258.820068359375,1440.0,2237,1426,1
36,2216.44091796875,1412.1771240234375,2258.85986328125,1440.0,2237,1426,1
37,2216.47265625,1412.19970703125,2258.9326171875,1440.0,2237,1426,1
38,2216.47900390625,1412.1396484375,2258.93701171875,1440.0,2237,1426,1
39,2216.50537109375,1412.134033203125,2258.93701171875,1440.0,2237,1426,1
40,2216.417724609375,1412.135986328125,2258.955322265625,1440.0,2237,1426,1
41,2216.34814453125,1412.102294921875,2259.021484375,1440.0,2237,1426,1
42,2216.375244140625,1412.086669921875,2258.956298828125,1440.0,2237,1426,1
