frame,x1,y1,x2,y2,cx,cy,visibility
0,1433.7842,613.1264,1483.1816,683.0207,1458,648,1
0,1506.5684,1062.014,1551.9854,1123.4427,1529,1092,1
0,1189.5183,128.93958,1237.2092,199.56891,1213,164,1
0,1420.3755,44.376617,1474.1094,104.95178,1447,74,1
1,1505.1914,1063.5615,1551.0942,1125.0867,1528,1094,1
1,1189.8296,129.6114,1236.5718,199.33354,1213,164,1
1,1420.8777,43.50302,1474.2683,104.604065,1447,74,1
1,1435.0115,614.63,1482.783,682.02625,1458,648,1
2,1504.513,1063.4069,1551.4998,1125.6481,1528,1094,1
2,1189.8005,129.71939,1236.7627,199.97092,1213,164,1
2,1420.8,43.472443,1474.2307,104.64647,1447,74,1
2,1434.9121,613.88806,1482.9824,681.9254,1458,647,1
2,797.7619,631.20483,840.34076,683.7854,819,657,1
3,1504.6338,1063.4592,1551.5171,1125.5896,1528,1094,1
3,1189.8203,129.72716,1236.7568,199.95348,1213,164,1
3,1420.6494,43.371704,1474.2437,104.64938,1447,74,1
3,1435.0884,613.85114,1483.0151,681.8448,1459,647,1
3,797.6961,631.3153,840.29376,683.9951,818,657,1
4,1504.579,1063.7523,1551.3688,1125.5316,1527,1094,1
4,1189.9646,129.79861,1237.0662,200.45969,1213,165,1
4,1420.3574,43.00882,1474.1787,104.723114,1447,73,1
4,1434.906,614.2825,1483.1233,681.9938,1459,648,1
4,797.63745,631.02954,840.303,683.70703,818,657,1
5,1504.0469,1063.5979,1551.1011,1126.1277,1527,1094,1
5,1189.7366,129.66946,1236.8591,199.94022,1213,164,1
5,1420.8818,44.347656,1474.1147,104.50365,1447,74,1
5,1433.8245,619.86316,1482.3103,683.9645,1458,651,1
5,797.84033,631.2874,840.30664,684.34955,819,657,1
6,1504.028,1063.8264,1550.7081,1125.7634,1527,1094,1
6,1189.7467,129.49072,1236.9435,200.0874,1213,164,1
6,1420.8684,44.50203,1474.116,104.49028,1447,74,1
6,1434.5697,614.1617,1482.9569,681.67523,1458,647,1
6,798.1886,631.78357,840.2162,684.23914,819,658,1
7,1504.0171,1063.7397,1550.5571,1125.793,1527,1094,1
7,1189.8142,129.518,1236.9216,199.85913,1213,164,1
7,1421.0947,44.403122,1474.1348,104.457886,1447,74,1
7,1433.4896,619.46313,1482.9738,684.0403,1458,651,1
8,1503.907,1063.9182,1550.5349,1126.0667,1527,1094,1
