frame,x1,y1,x2,y2,cx,cy,visibility
0,2327.1973,1213.7432,2376.707,1276.9775,2351,1245,1
1,2327.3618,1213.818,2376.9595,1277.0619,2352,1245,1
2,2327.3662,1213.8196,2376.9658,1277.0623,2352,1245,1
3,2327.3613,1213.824,2376.9697,1277.0642,2352,1245,1
4,2327.2993,1213.9094,2376.9575,1277.0632,2352,1245,1
5,2327.3015,1214.0515,2376.9187,1277.0095,2352,1245,1
5,2427.0798,138.8752,2498.429,220.34663,2462,179,1
6,2327.325,1214.0554,2376.8723,1276.9905,2352,1245,1
6,2427.099,138.83945,2498.3774,220.25613,2462,179,1
7,2327.2886,1214.1602,2376.8384,1277.0474,2352,1245,1
7,2427.0747,138.96611,2498.4097,220.53017,2462,179,1
8,2327.2803,1214.1664,2376.837,1277.0587,2352,1245,1
8,2427.083,138.89297,2498.4316,220.50174,2462,179,1
9,2327.4973,1213.9426,2376.6838,1276.9148,2352,1245,1
9,2426.9526,138.87286,2498.5513,220.61115,2462,179,1
10,2327.345,1214.0068,2376.722,1276.9712,2352,1245,1
10,2426.8633,139.00165,2498.4912,220.7557,2462,179,1
11,2327.4238,1214.0013,2376.669,1276.9064,2352,1245,1
11,2426.8887,139.0033,2498.5225,220.68146,2462,179,1
12,2327.291,1214.1355,2376.8018,1276.9939,2352,1245,1
12,2426.9434,138.9545,2498.4697,220.6478,2462,179,1
13,2327.5764,1214.0361,2376.7542,1276.8838,2352,1245,1
13,2426.6973,138.9195,2498.5483,220.76501,2462,179,1
14,2327.54,1214.0547,2376.7334,1276.9255,2352,1245,1
14,2426.7334,138.96286,2498.5205,220.77856,2462,179,1
15,2327.5366,1214.0276,2376.7988,1276.9055,2352,1245,1
15,2426.6948,138.92104,2498.5278,220.86043,2462,179,1
16,2327.6172,1214.0146,2376.7524,1276.9111,2352,1245,1
16,2426.7012,138.88528,2498.5708,220.88284,2462,179,1
17,2327.5269,1214.0576,2376.769,1276.915,2352,1245,1
17,2426.7231,138.8825,2498.4976,220.78589,2462,179,1
18,2327.518,1214.0707,2376.749,1276.9576,2352,1245,1
18,2426.7412,138.9661,2498.4082,220.70029,2462,179,1
19,2327.56,1214.0623,2376.79,1276.9211,2352,1245,1
19,2426.7432,138.88058,2498.441,220.73318,2462,179,1
20,2327.5537,1214.0781,2376.7344,1276.9272,2352,1245,1
20,2426.737,138.84613,2498.5247,220.79688,2462,179,1
21,2327.588,1214.0564,2376.7832,1276.8953,2352,1245,1
21,2426.7607,138.86156,2498.4893,220.74168,2462,179,1
22,2327.5972,1214.0857,2376.7603,1276.9175,2352,1245,1
22,2426.7656,138.94058,2498.4492,220.74695,2462,179,1
23,2327.6155,1214.0627,2376.786,1276.8862,2352,1245,1
23,2426.7458,138.93845,2498.4592,220.7496,2462,179,1
24,2327.6113,1214.0619,2376.7764,1276.88,2352,1245,1
24,2426.7283,138.95084,2498.4807,220.75296,2462,179,1
25,2327.6162,1214.0378,2376.7861,1276.867,2352,1245,1
25,2426.7476,138.92043,2498.4756,220.77214,2462,179,1
26,2327.5952,1214.0571,2376.7642,1276.896,2352,1245,1
26,2426.7498,138.94476,2498.4167,220.73706,2462,179,1
27,2327.5945,1214.0344,2376.7957,1276.8699,2352,1245,1
27,2426.7324,138.92178,2498.496,220.77438,2462,179,1
28,2327.5684,1214.072,2376.749,1276.9055,2352,1245,1
28,2426.691,138.90695,2498.5396,220.81796,2462,179,1
29,2327.588,1214.0039,2376.791,1276.8677,2352,1245,1
29,2426.726,138.91876,2498.5063,220.77948,2462,179,1
30,2327.5974,1214.0427,2376.7634,1276.8982,2352,1245,1
30,2426.753,138.92825,2498.4229,220.74326,2462,179,1
31,2327.6218,1213.9895,2376.7874,1276.8699,2352,1245,1
31,2426.7449,138.91034,2498.4846,220.77914,2462,179,1
32,2327.6387,1214.0061,2376.7935,1276.8816,2352,1245,1
32,2426.72,138.93448,2498.4944,220.76987,2462,179,1
33,2327.6377,1214.0066,2376.8105,1276.8743,2352,1245,1
33,2426.7307,138.90929,2498.4905,220.77266,2462,179,1
34,2327.6108,1214.0186,2376.7886,1276.9058,2352,1245,1
34,2426.7446,138.92819,2498.4385,220.72748,2462,179,1
35,2327.6177,1213.999,2376.8276,1276.8789,2352,1245,1
35,2426.7246,138.91125,2498.499,220.76001,2462,179,1
36,2327.5845,1214.0216,2376.7769,1276.9171,2352,1245,1
36,2426.6846,138.89954,2498.544,220.81097,2462,179,1
37,2327.6182,1213.9982,2376.8286,1276.879,2352,1245,1
37,2426.733,138.89735,2498.5093,220.78639,2462,179,1
38,2327.6306,1214.0107,2376.7996,1276.9038,2352,1245,1
38,2426.7595,138.91145,2498.4392,220.74367,2462,179,1
39,2327.6519,1213.9995,2376.8218,1276.8765,2352,1245,1
39,2426.7485,138.89609,2498.481,220.77185,2462,179,1
40,2327.6333,1214.0175,2376.8062,1276.8898,2352,1245,1
40,2426.725,138.93695,2498.4927,220.76044,2462,179,1
41,2327.606,1214.01,2376.814,1276.8865,2352,1245,1
41,2426.7454,138.91096,2498.492,220.78136,2462,179,1
42,2327.5896,1214.0195,2376.7976,1276.9158,2352,1245,1
42,2426.7485,138.94318,2498.4302,220.74661,2462,179,1
43,2327.6328,1213.9834,2376.8198,1276.9097,2352,1245,1
43,2426.732,138.92296,2498.5088,220.77895,2462,179,1
44,2327.6016,1213.9946,2376.7666,1276.9287,2352,1245,1
44,2426.6968,138.91336,2498.5435,220.81451,2462,179,1
45,2327.644,1213.957,2376.815,1276.9048,2352,1245,1
45,2426.7363,138.92488,2498.5068,220.77519,2462,179,1
46,2327.623,1213.9819,2376.7876,1276.937,2352,1245,1
46,2426.7485,138.9484,2498.4258,220.74374,2462,179,1
47,2327.6648,1213.9668,2376.804,1276.9038,2352,1245,1
47,2426.7446,138.93372,2498.484,220.76889,2462,179,1
48,2327.6372,1213.9775,2376.7905,1276.915,2352,1245,1
48,2426.7212,138.99417,2498.4692,220.73697,2462,179,1
49,2327.6382,1213.9897,2376.8179,1276.8867,2352,1245,1
49,2426.7173,138.97556,2498.474,220.75128,2462,179,1
50,2327.6025,1214.0051,2376.7852,1276.9036,2352,1245,1
50,2426.7104,138.96303,2498.4438,220.73595,2462,179,1
51,2327.618,1213.9592,2376.826,1276.8916,2352,1245,1
51,2426.6853,138.95428,2498.5247,220.75867,2462,179,1
52,2327.5876,1214.0403,2376.7708,1276.9233,2352,1245,1
52,2426.65,138.94995,2498.5679,220.7995,2462,179,1
53,2327.6064,1214.0012,2376.8232,1276.8796,2352,1245,1
53,2426.6929,138.95361,2498.5264,220.74976,2462,179,1
54,2327.6064,1214.0298,2376.7988,1276.916,2352,1245,1
54,2426.7197,138.96336,2498.4668,220.72719,2462,179,1
55,2327.6143,1214.0178,2376.8223,1276.8811,2352,1245,1
55,2426.7007,138.93675,2498.526,220.76027,2462,179,1
56,2327.604,1214.0348,2376.8032,1276.9054,2352,1245,1
56,2426.6865,138.9602,2498.5293,220.76001,2462,179,1
57,2327.5378,1213.867,2376.5784,1276.937,2352,1245,1
57,2426.7651,138.90152,2498.5786,220.17938,2462,179,1
58,2326.8655,1213.8872,2376.5227,1277.114,2351,1245,1
58,2426.353,139.62886,2498.7407,221.3051,2462,180,1
59,2326.8135,1213.9556,2376.4355,1277.1191,2351,1245,1
59,2426.4524,139.6193,2498.5872,221.18088,2462,180,1
60,2326.7852,1213.8613,2376.5215,1277.1313,2351,1245,1
60,2426.38,139.63422,2498.5742,221.14777,2462,180,1
61,2326.794,1213.9614,2376.3467,1277.0562,2351,1245,1
61,2426.436,139.67972,2498.5063,221.18958,2462,180,1
62,2326.8335,1213.7974,2376.5571,1277.0942,2351,1245,1
62,2426.456,139.64417,2498.458,221.08575,2462,180,1
63,2326.8389,1213.9213,2376.496,1277.0824,2351,1245,1
63,2426.5176,139.61313,2498.4873,221.1401,2462,180,1
64,2326.741,1213.9639,2376.6208,1277.1772,2351,1245,1
64,2426.4868,139.60297,2498.5312,221.08789,2462,180,1
65,2326.8125,1213.9375,2376.4688,1277.1396,2351,1245,1
65,2426.4968,139.62439,2498.5305,221.12946,2462,180,1
66,2326.751,1213.981,2376.5347,1277.1926,2351,1245,1
66,2426.5166,139.6015,2498.496,221.04706,2462,180,1
67,2326.804,1213.9578,2376.485,1277.1047,2351,1245,1
67,2426.5454,139.5857,2498.477,221.12671,2462,180,1
68,2326.764,1213.9448,2376.53,1277.1387,2351,1245,1
68,2426.6064,139.61536,2498.3623,221.02142,2462,180,1
69,2326.8472,1213.9308,2376.5024,1277.0875,2351,1245,1
69,2426.6282,139.63275,2498.383,221.0852,2462,180,1
70,2326.7896,1213.9154,2376.5483,1277.1132,2351,1245,1
70,2426.6055,139.6124,2498.358,221.0278,2462,180,1
71,2327.2122,1213.5608,2376.3567,1276.8044,2351,1245,1
71,2426.5205,139.6441,2498.3271,220.98434,2462,180,1
72,2327.2905,1213.5204,2376.329,1276.7313,2351,1245,1
72,2426.5005,139.61227,2498.417,220.98816,2462,180,1
73,2327.15,1213.5925,2376.3208,1276.7981,2351,1245,1
73,2426.4473,139.62982,2498.415,220.9914,2462,180,1
74,2327.2666,1213.5443,2376.2954,1276.743,2351,1245,1
74,2426.4058,139.61105,2498.4233,221.03958,2462,180,1
75,2327.2212,1213.5911,2376.353,1276.824,2351,1245,1
75,2426.4106,139.63919,2498.3604,221.05624,2462,180,1
76,2327.2888,1213.5356,2376.3513,1276.772,2351,1245,1
76,2426.4421,139.65164,2498.2898,221.03806,2462,180,1
77,2327.2063,1213.5648,2376.3596,1276.8129,2351,1245,1
77,2426.5027,139.68884,2498.2805,220.9881,2462,180,1
78,2327.3203,1213.5256,2376.3418,1276.7493,2351,1245,1
78,2426.4653,139.66165,2498.3228,220.9711,2462,180,1
79,2327.2334,1213.5762,2376.3472,1276.8027,2351,1245,1
79,2426.4233,139.65443,2498.398,221.00343,2462,180,1
80,2327.3164,1213.5234,2376.3252,1276.7319,2351,1245,1
80,2426.5688,139.65237,2498.336,220.62302,2462,180,1
81,2327.2217,1213.578,2376.3535,1276.7845,2351,1245,1
81,2426.5283,139.68011,2498.3965,220.7095,2462,180,1
82,2327.3174,1213.5298,2376.3232,1276.7324,2351,1245,1
82,2426.545,139.6554,2498.338,220.74857,2462,180,1
83,2327.2356,1213.565,2376.36,1276.81,2351,1245,1
83,2426.5337,139.67055,2498.312,220.74559,2462,180,1
84,2327.317,1213.5164,2376.3286,1276.742,2351,1245,1
84,2426.539,139.67273,2498.3105,220.74487,2462,180,1
85,2327.2244,1213.5548,2376.3767,1276.8063,2351,1245,1
85,2426.528,139.69281,2498.3596,220.7398,2462,180,1
86,2327.312,1213.5004,2376.3345,1276.7448,2351,1245,1
86,2426.5151,139.65619,2498.3691,220.75116,2462,180,1
87,2327.2266,1213.5581,2376.3643,1276.8018,2351,1245,1
87,2426.5015,139.65668,2498.3687,220.73254,2462,180,1
