frame,x1,y1,x2,y2,cx,cy,visibility
0,2329.9993,1234.573,2377.3523,1295.5002,2353,1265,1
0,1065.7292,1305.9877,1106.6091,1367.1957,1086,1336,1
0,634.112,1402.9797,676.7321,1461.5415,655,1432,1
1,2329.7737,1234.1101,2377.2634,1295.8799,2353,1264,1
1,634.51733,1402.9126,677.0254,1461.4624,655,1432,1
2,2329.7832,1234.1125,2377.2764,1295.9158,2353,1265,1
2,634.56586,1402.8955,677.0682,1461.52,655,1432,1
3,2329.776,1234.086,2377.2437,1295.8729,2353,1264,1
3,634.4475,1402.9946,676.9944,1461.5586,655,1432,1
4,2329.9824,1234.1746,2377.376,1295.9353,2353,1265,1
4,634.40234,1402.9739,676.9143,1461.5447,655,1432,1
5,2329.645,1233.958,2377.1743,1295.8462,2353,1264,1
5,634.57056,1402.8601,676.8237,1461.3835,655,1432,1
5,1451.0007,967.7676,1490.1726,1021.7146,1470,994,1
6,2329.6338,1233.9102,2377.1968,1295.9175,2353,1264,1
6,1451.0007,967.1367,1490.2712,1021.59595,1470,994,1
6,634.51117,1402.8721,676.79034,1461.3833,655,1432,1
7,2329.7798,1233.9316,2377.2192,1295.894,2353,1264,1
7,1450.9321,967.17163,1490.4263,1021.67163,1470,994,1
7,634.5941,1402.8811,676.91003,1461.4226,655,1432,1
8,2329.7139,1233.8113,2377.2144,1295.9329,2353,1264,1
8,1450.0645,965.8756,1491.041,1022.5094,1470,994,1
8,634.56506,1402.8638,676.87024,1461.3374,655,1432,1
9,2329.701,1233.8993,2377.2522,1296.0177,2353,1264,1
9,1449.6605,966.7091,1490.4337,1021.87683,1470,994,1
10,2329.87,1233.9127,2377.252,1296.0404,2353,1264,1
11,2329.778,1233.8506,2377.2468,1295.978,2353,1264,1
12,2329.7502,1233.8562,2377.1707,1295.8757,2353,1264,1
12,1450.4019,967.79285,1490.0986,1022.1686,1470,994,1
13,2329.869,1233.7883,2377.3215,1296.154,2353,1264,1
14,2329.8794,1233.7905,2377.3276,1296.166,2353,1264,1
14,634.84296,1402.6252,676.7618,1460.4138,655,1431,1
15,2329.6787,1234.0424,2377.6133,1296.285,2353,1265,1
16,2329.6304,1234.0774,2377.6265,1296.242,2353,1265,1
16,634.54553,1402.5657,676.827,1461.385,655,1431,1
17,2329.607,1234.1221,2377.6328,1296.1577,2353,1265,1
17,634.64185,1402.469,676.73267,1460.9714,655,1431,1
18,2329.6284,1234.0948,2377.5933,1296.088,2353,1265,1
18,634.6,1402.4629,676.75476,1461.0076,655,1431,1
19,2329.7056,1234.1135,2377.5513,1296.1301,2353,1265,1
19,1450.8866,965.8689,1490.3448,1022.48706,1470,994,1
20,2329.8076,1234.1516,2377.5469,1296.1282,2353,1265,1
21,2329.7754,1234.2104,2377.5732,1296.1548,2353,1265,1
21,1450.7861,965.6696,1490.4502,1022.42163,1470,994,1
22,2329.782,1234.1748,2377.5837,1296.1377,2353,1265,1
23,2329.7993,1234.1892,2377.567,1296.1404,2353,1265,1
24,2329.749,1234.156,2377.5718,1296.2048,2353,1265,1
25,2329.7817,1234.1396,2377.5713,1296.145,2353,1265,1
26,2329.7788,1234.1489,2377.5806,1296.147,2353,1265,1
27,2329.782,1234.1448,2377.568,1296.1155,2353,1265,1
28,2329.8115,1234.1367,2377.5361,1296.0913,2353,1265,1
29,2329.4087,1233.7717,2377.308,1296.6218,2353,1265,1
30,2329.4094,1233.7662,2377.3147,1296.6212,2353,1265,1
31,2329.3186,1233.8566,2377.3025,1296.5658,2353,1265,1
31,1450.9705,967.73865,1490.2341,1022.01843,1470,994,1
32,2329.229,1233.7996,2377.3003,1296.5769,2353,1265,1
32,1451.0132,967.86096,1490.3096,1022.0519,1470,994,1
32,1066.2644,1306.0531,1106.9465,1367.2118,1086,1336,1
33,2329.2083,1233.8047,2377.3035,1296.6162,2353,1265,1
34,2329.246,1233.7952,2377.2676,1296.6619,2353,1265,1
35,2329.271,1233.7758,2377.2622,1296.681,2353,1265,1
36,2329.3096,1233.7161,2377.2686,1296.698,2353,1265,1
36,1066.083,1305.9476,1107.0269,1367.3121,1086,1336,1
37,2329.3123,1233.7417,2377.297,1296.5818,2353,1265,1
38,2329.3113,1233.7434,2377.3074,1296.5857,2353,1265,1
38,1066.269,1306.0793,1107.0833,1367.5051,1086,1336,1
39,2329.2905,1233.7795,2377.354,1296.6482,2353,1265,1
40,2329.2397,1233.8179,2377.3296,1296.6426,2353,1265,1
40,1066.1898,1306.0867,1107.1954,1367.5662,1086,1336,1
41,2329.311,1233.8263,2377.3252,1296.5834,2353,1265,1
